Name,POS,Average,Median,Minimum,Maximum,Last 10,Roster%,norm
Carter Jensen KCR,C,5.94,5.0,1,23,5.7,100%,carter jensen
Braxton Ashcraft PIT,SP/RP,5.94,5.0,1,25,7.5,100%,braxton ashcraft
Daylen Lile WSN,OF,5.92,5.0,1,21,7.2,99.128%,daylen lile
Trevor Rogers BAL,SP,5.79,5.0,1,15,5.8,97.384%,trevor rogers
Jeremiah Estrada SDP AAA,RP,5.77,6.0,1,18,3.5,68.895%,jeremiah estrada sdp
Griffin Jax TBR,SP/RP,5.74,5.0,1,18,4.8,97.965%,griffin jax
Luke Keaschall MIN,2B/OF,5.72,5.0,1,24,5.2,98.256%,luke keaschall
Edward Cabrera CHC,SP,5.7,5.0,1,17,3.0,80.523%,edward cabrera
Ryan Walker SFG AAA,RP,5.7,5.0,1,13,2.2,18.314%,ryan walker sfg
Jose Soriano LAA,SP,5.68,5.0,1,17,5.4,100%,jose soriano
Yainer Diaz HOU,C,5.63,5.0,1,15,2.4,58.14%,yainer diaz
Carlos Correa HOU,SS/3B,5.57,5.0,1,21,3.4,57.849%,carlos correa
Grant Taylor CHW,SP/RP,5.56,5.0,1,17,7.3,100%,grant taylor
Justin Steele CHC,RP,5.52,5.0,1,21,3.8,85.465%,justin steele
Kyle Manzardo CLE,1B,5.51,6.0,1,17,2.2,52.907%,kyle manzardo
Adolis García PHI,OF,5.5,4.0,1,21,3.3,30.523%,adolis garcia
Andrew Painter PHI AAA,SP,5.49,5.0,1,13,3.6,76.453%,andrew painter phi
Agustin Ramirez MIA AAA,C,5.48,5.0,1,15,2.2,32.849%,agustin ramirez mia
Pablo Lopez MIN,SP,5.47,4.0,1,29,5.3,75.872%,pablo lopez
Noelvi Marte CIN,3B/OF,5.45,5.0,1,20,3.5,86.919%,noelvi marte
Bryce Eldridge SFG,1B,5.45,5.0,1,21,8.1,99.709%,bryce eldridge
Seranthony Dominguez CHW,RP,5.43,4.0,1,26,3.1,81.395%,seranthony dominguez
Cam Smith HOU,OF,5.43,5.0,1,17,5.2,99.419%,cam smith
Emmet Sheehan LAD,SP,5.41,5.0,1,22,6.3,99.128%,emmet sheehan
Marcus Semien NYM,2B,5.41,5.0,1,26,2.2,37.209%,marcus semien
Evan Carter TEX,OF,5.35,5.0,1,15,3.2,69.477%,evan carter
Francisco Alvarez NYM,C,5.35,5.0,1,14,4.8,96.221%,francisco alvarez
